VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2018 Dec 31 11:47:38 PM,2018 Dec 31 11:57:59 PM,0,5.3,1,N,132,203,2,16,0.5,0.5,0,0,0.3,17.3
1,2018 Dec 31 11:47:38 PM,2018 Dec 31 11:51:38 PM,2,0.7,1,N,90,90,1,4.5,0.5,0.5,0.8,0,0.3,6.6
1,2018 Dec 31 11:47:37 PM,2018 Dec 31 11:52:44 PM,1,1.3,1,N,229,141,1,6,0.5,0.5,1.45,0,0.3,8.75
1,2018 Dec 31 11:47:37 PM,2018 Dec 31 11:53:48 PM,2,0.8,1,N,249,158,1,6,0.5,0.5,1.45,0,0.3,8.75
2,2018 Dec 31 11:47:37 PM,2018 Dec 31 11:54:10 PM,3,0.78,1,N,148,79,1,6,0.5,0.5,1.46,0,0.3,8.76
2,2018 Dec 31 11:47:37 PM,2018 Dec 31 11:53:55 PM,1,1.42,1,N,142,141,1,7,0.5,0.5,2.49,0,0.3,10.79
2,2018 Dec 31 11:47:36 PM,2019 Jan 01 12:13:47 AM,1,11.08,1,N,138,25,1,32.5,0.5,0.5,6.76,0,0.3,40.56
2,2018 Dec 31 11:47:36 PM,2018 Dec 31 11:50:00 PM,5,0.4,1,N,239,239,2,4,0.5,0.5,0,0,0.3,5.3
2,2018 Dec 31 11:47:35 PM,2019 Jan 01 12:01:31 AM,1,3,1,N,170,236,2,12.5,0.5,0.5,0,0,0.3,13.8
2,2018 Dec 31 11:47:35 PM,2019 Jan 01 12:24:02 AM,1,27.88,4,N,132,265,1,78.5,0.5,0.5,15,5.76,0.3,100.56
2,2018 Dec 31 11:47:34 PM,2018 Dec 31 11:51:41 PM,3,0.58,1,N,249,113,1,4.5,0.5,0.5,1.45,0,0.3,7.25
2,2018 Dec 31 11:47:34 PM,2019 Jan 01 12:01:49 AM,1,4.14,1,N,239,137,2,14,0.5,0.5,0,0,0.3,15.3
1,2018 Dec 31 11:47:33 PM,2019 Jan 01 12:44:29 AM,1,5.2,1,N,43,231,1,34,0.5,0.5,1,0,0.3,36.3
2,2018 Dec 31 11:47:33 PM,2019 Jan 01 12:24:42 AM,2,18.16,1,N,242,61,1,50.5,0.5,0.5,0,5.76,0.3,57.56
1,2018 Dec 31 11:47:32 PM,2019 Jan 01 12:08:31 AM,1,3.9,1,N,107,12,1,17,0.5,0.5,1.5,0,0.3,19.8
2,2018 Dec 31 11:47:32 PM,2019 Jan 01 12:01:21 AM,1,2.74,1,N,236,48,1,11.5,0.5,0.5,2.56,0,0.3,15.36
2,2018 Dec 31 11:47:32 PM,2018 Dec 31 11:51:42 PM,1,0.43,1,N,164,170,2,4.5,0.5,0.5,0,0,0.3,5.8
1,2018 Dec 31 11:47:31 PM,2018 Dec 31 11:50:41 PM,2,0.7,1,N,234,249,1,4.5,0.5,0.5,0.6,0,0.3,6.4
1,2018 Dec 31 11:47:31 PM,2018 Dec 31 11:58:55 PM,1,1.9,1,N,79,107,1,9.5,0.5,0.5,0,0,0.3,10.8
1,2018 Dec 31 11:47:30 PM,2018 Dec 31 11:54:02 PM,1,1.4,1,N,162,161,1,7,0.5,0.5,0,0,0.3,8.3
2,2018 Dec 31 11:47:30 PM,2019 Jan 01 12:11:28 AM,1,4.77,1,N,142,231,1,18.5,0.5,0.5,3.96,0,0.3,23.76
1,2018 Dec 31 11:47:30 PM,2019 Jan 01 12:15:40 AM,1,11.4,1,N,132,61,1,34.5,0.5,0.5,8.9,0,0.3,44.7
2,2018 Dec 31 11:47:30 PM,2019 Jan 01 12:12:04 AM,5,2.99,1,N,261,144,2,16.5,0.5,0.5,0,0,0.3,17.8
2,2018 Dec 31 11:47:26 PM,2018 Dec 31 11:48:50 PM,3,0.34,1,N,140,140,1,3,0.5,0.5,0.86,0,0.3,5.16
2,2018 Dec 31 11:47:26 PM,2019 Jan 01 12:06:38 AM,6,2.19,1,N,82,82,2,12.5,0.5,0.5,0,0,0.3,13.8
2,2018 Dec 31 11:47:25 PM,2018 Dec 31 11:54:52 PM,2,1.34,1,N,68,90,1,7,0.5,0.5,2.08,0,0.3,10.38
1,2018 Dec 31 11:47:25 PM,2018 Dec 31 11:57:37 PM,3,1.8,1,N,79,45,2,9,0.5,0.5,0,0,0.3,10.3
1,2018 Dec 31 11:47:25 PM,2018 Dec 31 11:53:11 PM,1,0.7,1,N,237,161,1,5.5,0.5,0.5,1.35,0,0.3,8.15
2,2018 Dec 31 11:47:24 PM,2019 Jan 01 12:20:31 AM,1,5.75,1,N,210,188,1,25,0.5,0.5,0,0,0.3,26.3
2,2018 Dec 31 11:47:24 PM,2019 Jan 01 12:12:47 AM,3,7.94,1,N,138,41,1,26,0.5,0.5,6.61,5.76,0.3,39.67
1,2018 Dec 31 11:47:24 PM,2019 Jan 01 12:04:18 AM,2,6.8,1,N,142,243,1,21,0.5,0.5,4.45,0,0.3,26.75
2,2018 Dec 31 11:47:23 PM,2019 Jan 01 12:19:11 AM,1,19.05,2,N,132,224,1,52,0,0.5,12.2,0,0.3,65
1,2018 Dec 31 11:47:23 PM,2019 Jan 01 12:11:26 AM,1,11.1,1,Y,48,200,2,32.5,0.5,0.5,0,2.64,0.3,36.44
2,2018 Dec 31 11:47:22 PM,2018 Dec 31 11:55:55 PM,1,1.22,1,N,125,234,1,7.5,0.5,0.5,0.88,0,0.3,9.68
2,2018 Dec 31 11:47:21 PM,2019 Jan 01 12:06:36 AM,1,8.38,1,N,75,242,2,25,0.5,0.5,0,0,0.3,26.3
2,2018 Dec 31 11:47:21 PM,2018 Dec 31 11:54:59 PM,1,1.89,1,N,237,43,2,8,0.5,0.5,0,0,0.3,9.3
1,2018 Dec 31 11:47:20 PM,2018 Dec 31 11:53:46 PM,2,0.8,1,N,125,148,2,6,0.5,0.5,0,0,0.3,7.3
