VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2018 Dec 31 11:38:32 PM,2018 Dec 31 11:40:00 PM,1,0.3,1,N,264,231,2,3,0.5,0.5,0,0,0.3,4.3
2,2018 Dec 31 11:38:32 PM,2018 Dec 31 11:54:29 PM,1,6.85,1,N,138,80,1,20.5,0.5,0.5,21.58,0,0.3,43.38
1,2018 Dec 31 11:38:31 PM,2018 Dec 31 11:48:28 PM,2,4.2,1,N,50,166,1,14,0.5,0.5,0,0,0.3,15.3
1,2018 Dec 31 11:38:31 PM,2019 Jan 01 12:05:18 AM,1,9.6,1,N,138,68,1,30.5,0.5,0.5,7.5,5.76,0.3,45.06
1,2018 Dec 31 11:38:31 PM,2018 Dec 31 11:57:17 PM,2,4.7,1,N,143,211,2,17,0.5,0.5,0,0,0.3,18.3
1,2018 Dec 31 11:38:31 PM,2019 Jan 01 12:06:48 AM,1,8.7,1,N,181,68,1,28.5,0.5,0.5,0.02,0,0.3,29.82
1,2018 Dec 31 11:38:31 PM,2018 Dec 31 11:51:56 PM,2,2.7,1,N,246,249,1,11.5,0.5,0.5,2.56,0,0.3,15.36
2,2018 Dec 31 11:38:31 PM,2018 Dec 31 11:44:58 PM,2,1.14,1,N,263,237,1,6.5,0.5,0.5,1.56,0,0.3,9.36
2,2018 Dec 31 11:38:31 PM,2018 Dec 31 11:45:19 PM,1,0.86,1,N,186,246,1,6,0.5,0.5,1.46,0,0.3,8.76
2,2018 Dec 31 11:38:30 PM,2018 Dec 31 11:55:15 PM,1,3.6,1,N,142,79,1,14,0.5,0.5,3.06,0,0.3,18.36
2,2018 Dec 31 11:38:30 PM,2018 Dec 31 11:54:38 PM,1,3.61,1,N,75,161,2,14,0.5,0.5,0,0,0.3,15.3
1,2018 Dec 31 11:38:29 PM,2018 Dec 31 11:41:40 PM,1,0.5,1,N,116,116,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2018 Dec 31 11:38:28 PM,2018 Dec 31 11:44:55 PM,1,1.62,1,N,142,238,1,7.5,0.5,0.5,2.2,0,0.3,11
1,2018 Dec 31 11:38:28 PM,2018 Dec 31 11:46:38 PM,1,1.3,1,N,238,75,1,7.5,0.5,0.5,1.75,0,0.3,10.55
1,2018 Dec 31 11:38:26 PM,2019 Jan 01 12:16:02 AM,2,7.9,1,N,25,113,1,30.5,0.5,0.5,6.35,0,0.3,38.15
2,2018 Dec 31 11:38:25 PM,2018 Dec 31 11:41:38 PM,1,0.62,1,N,43,236,1,4.5,0.5,0.5,1.45,0,0.3,7.25
