VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2018 Dec 31 11:31:04 PM,2018 Dec 31 11:37:14 PM,1,1.48,1,N,263,237,1,7,0.5,0.5,1.66,0,0.3,9.96
1,2018 Dec 31 11:31:03 PM,2018 Dec 31 11:41:39 PM,1,1.9,1,N,148,137,2,9.5,0.5,0.5,0,0,0.3,10.8
1,2018 Dec 31 11:31:03 PM,2018 Dec 31 11:36:10 PM,4,0.5,1,N,186,164,2,5,0.5,0.5,0,0,0.3,6.3
2,2018 Dec 31 11:31:03 PM,2018 Dec 31 11:52:03 PM,1,4.55,1,N,113,181,1,17.5,0.5,0.5,4.7,0,0.3,23.5
2,2018 Dec 31 11:31:03 PM,2018 Dec 31 11:33:34 PM,2,0.45,1,N,236,141,1,4,0.5,0.5,1.32,0,0.3,6.62
1,2018 Dec 31 11:31:03 PM,2018 Dec 31 11:37:31 PM,2,0.8,1,N,231,148,1,5.5,0.5,0.5,1,0,0.3,7.8
2,2018 Dec 31 11:31:02 PM,2018 Dec 31 11:36:07 PM,1,1.01,1,N,88,13,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,2018 Dec 31 11:31:02 PM,2018 Dec 31 11:51:52 PM,3,12.11,1,N,138,220,1,33.5,0.5,0.5,12.17,5.76,0.3,52.73
2,2018 Dec 31 11:31:02 PM,2018 Dec 31 11:33:24 PM,1,0,1,N,170,170,2,2.5,0.5,0.5,0,0,0.3,3.8
2,2018 Dec 31 11:31:02 PM,2018 Dec 31 11:35:27 PM,5,0.99,1,N,243,127,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2018 Dec 31 11:31:01 PM,2019 Jan 01 12:04:47 AM,1,8.4,1,N,158,223,2,28.5,0.5,0.5,0,0,0.3,29.8
2,2018 Dec 31 11:31:01 PM,2018 Dec 31 11:35:21 PM,5,0.6,1,N,143,142,1,5,0.5,0.5,1.26,0,0.3,7.56
2,2018 Dec 31 11:31:00 PM,2019 Jan 01 12:07:18 AM,1,21.61,2,N,132,142,1,52,0,0.5,11.71,5.76,0.3,70.27
