VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2018 Dec 31 11:24:10 PM,2018 Dec 31 11:48:46 PM,2,10.07,1,N,170,197,2,31,0.5,0.5,0,5.76,0.3,38.06
2,2018 Dec 31 11:24:10 PM,2018 Dec 31 11:34:21 PM,1,1.9,1,N,142,238,1,9,0.5,0.5,1.5,0,0.3,11.8
2,2018 Dec 31 11:24:09 PM,2018 Dec 31 11:34:25 PM,1,2.77,1,N,224,140,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,2018 Dec 31 11:24:09 PM,2018 Dec 31 11:25:07 PM,1,0.18,1,N,161,161,2,3,0.5,0.5,0,0,0.3,4.3
1,2018 Dec 31 11:24:09 PM,2018 Dec 31 11:46:24 PM,1,4.3,1,N,50,144,2,18.5,0.5,0.5,0,0,0.3,19.8
1,2018 Dec 31 11:24:09 PM,2018 Dec 31 11:52:24 PM,1,4.3,1,N,148,48,2,19.5,0.5,0.5,0,0,0.3,20.8
1,2018 Dec 31 11:24:09 PM,2018 Dec 31 11:35:27 PM,1,2.1,1,N,236,229,1,10,0.5,0.5,2.8,0,0.3,14.1
2,2018 Dec 31 11:24:08 PM,2018 Dec 31 11:27:13 PM,5,0.61,1,N,262,263,1,4.5,0.5,0.5,0.7,0,0.3,6.5
1,2018 Dec 31 11:24:08 PM,2018 Dec 31 11:32:54 PM,1,1.4,1,N,48,143,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2018 Dec 31 11:24:08 PM,2018 Dec 31 11:47:40 PM,5,5.66,1,N,142,83,2,21.5,0.5,0.5,0,0,0.3,22.8
1,2018 Dec 31 11:24:08 PM,2018 Dec 31 11:25:45 PM,1,0.2,1,N,48,48,1,3,0.5,0.5,0.85,0,0.3,5.15
2,2018 Dec 31 11:24:07 PM,2018 Dec 31 11:27:22 PM,1,0.74,1,N,237,236,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2018 Dec 31 11:24:07 PM,2018 Dec 31 11:30:15 PM,1,0.9,1,N,161,142,1,6,0.5,0.5,1.82,0,0.3,9.12
1,2018 Dec 31 11:24:07 PM,2018 Dec 31 11:28:00 PM,2,1.5,1,N,262,229,3,6.5,0.5,0.5,0,0,0.3,7.8
2,2018 Dec 31 11:24:07 PM,2018 Dec 31 11:37:38 PM,1,2.12,1,N,170,249,2,10.5,0.5,0.5,0,0,0.3,11.8
2,2018 Dec 31 11:24:07 PM,2018 Dec 31 11:35:27 PM,1,2.72,1,N,163,151,1,11,0.5,0.5,3.08,0,0.3,15.38
1,2018 Dec 31 11:24:07 PM,2018 Dec 31 11:34:38 PM,1,2.5,1,N,158,87,2,10,0.5,0.5,0,0,0.3,11.3
2,2018 Dec 31 11:24:06 PM,2018 Dec 31 11:40:19 PM,1,3.41,1,N,229,211,2,13,0.5,0.5,0,0,0.3,14.3
1,2018 Dec 31 11:24:05 PM,2018 Dec 31 11:44:14 PM,1,1.5,1,N,164,161,1,13,0.5,0.5,0,0,0.3,14.3
2,2018 Dec 31 11:24:05 PM,2018 Dec 31 11:33:36 PM,1,1.28,1,N,79,125,1,8,0.5,0.5,1.86,0,0.3,11.16
1,2018 Dec 31 11:24:05 PM,2018 Dec 31 11:36:16 PM,2,2,1,N,144,164,1,10,0.5,0.5,2.25,0,0.3,13.55
2,2018 Dec 31 11:24:04 PM,2018 Dec 31 11:30:02 PM,2,0.95,1,N,231,114,1,6,0.5,0.5,1.46,0,0.3,8.76
2,2018 Dec 31 11:24:03 PM,2018 Dec 31 11:31:52 PM,1,1.37,1,N,142,236,2,8,0.5,0.5,0,0,0.3,9.3
1,2018 Dec 31 11:24:03 PM,2018 Dec 31 11:30:57 PM,1,1,1,N,237,262,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2018 Dec 31 11:24:03 PM,2018 Dec 31 11:50:54 PM,2,10.76,1,N,138,175,2,31,0.5,0.5,0,0,0.3,32.3
2,2018 Dec 31 11:24:03 PM,2018 Dec 31 11:33:44 PM,6,2.8,1,N,233,262,1,10,0.5,0.5,3.39,0,0.3,14.69
2,2018 Dec 31 11:24:03 PM,2018 Dec 31 11:29:24 PM,1,0.61,1,N,163,163,1,5,0.5,0.5,1.89,0,0.3,8.19
2,2018 Dec 31 11:24:03 PM,2018 Dec 31 11:39:17 PM,1,3.55,1,N,151,168,1,14,0.5,0.5,4.59,0,0.3,19.89
2,2018 Dec 31 11:24:02 PM,2018 Dec 31 11:38:32 PM,1,2.9,1,N,141,238,1,12.5,0.5,0.5,2.76,0,0.3,16.56
1,2018 Dec 31 11:24:02 PM,2018 Dec 31 11:34:23 PM,2,5,1,N,87,170,2,15.5,0.5,0.5,0,0,0.3,16.8
