VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2018 Dec 31 11:17:28 PM,2018 Dec 31 11:33:33 PM,1,3.92,1,N,239,152,2,15,0.5,0.5,0,0,0.3,16.3
1,2018 Dec 31 11:17:28 PM,2018 Dec 31 11:19:51 PM,1,0.3,1,N,263,263,2,3.5,0.5,0.5,0,0,0.3,4.8
2,2018 Dec 31 11:17:28 PM,2018 Dec 31 11:19:34 PM,2,0.36,1,N,263,262,1,3.5,0.5,0.5,1.2,0,0.3,6
2,2018 Dec 31 11:17:28 PM,2018 Dec 31 11:34:57 PM,1,4.48,1,N,164,41,1,15.5,0.5,0.5,3.36,0,0.3,20.16
2,2018 Dec 31 11:17:28 PM,2018 Dec 31 11:27:57 PM,1,1.11,1,N,50,68,1,8,0.5,0.5,1.86,0,0.3,11.16
2,2018 Dec 31 11:17:27 PM,2018 Dec 31 11:46:31 PM,1,18.51,2,N,132,236,1,52,0,0.5,17.57,5.76,0.3,76.13
2,2018 Dec 31 11:17:27 PM,2018 Dec 31 11:22:55 PM,1,1.1,1,N,179,7,2,6,0.5,0.5,0,0,0.3,7.3
2,2018 Dec 31 11:17:26 PM,2019 Jan 01 12:04:27 AM,1,23.56,2,N,132,48,2,52,0,0.5,0,5.76,0.3,58.56
1,2018 Dec 31 11:17:26 PM,2018 Dec 31 11:34:47 PM,2,3.4,1,N,114,48,1,13.5,0.5,0.5,2.95,0,0.3,17.75
2,2018 Dec 31 11:17:26 PM,2018 Dec 31 11:27:42 PM,1,0.89,1,N,48,50,1,8,0.5,0.5,1.86,0,0.3,11.16
1,2018 Dec 31 11:17:26 PM,2018 Dec 31 11:24:30 PM,1,0.8,1,N,69,119,2,6,0.5,0.5,0,0,0.3,7.3
2,2018 Dec 31 11:17:26 PM,2018 Dec 31 11:24:49 PM,1,0.89,1,N,114,148,1,5.5,0.5,0.5,2.04,0,0.3,8.84
1,2018 Dec 31 11:17:26 PM,2018 Dec 31 11:41:33 PM,2,1.3,1,N,74,41,2,15.5,0.5,0.5,0,0,0.3,16.8
2,2018 Dec 31 11:17:25 PM,2018 Dec 31 11:34:52 PM,1,2.21,1,N,50,158,1,12.5,0.5,0.5,4.14,0,0.3,17.94
1,2018 Dec 31 11:17:24 PM,2018 Dec 31 11:20:20 PM,2,0.4,1,N,113,79,1,4,0.5,0.5,1.05,0,0.3,6.35
2,2018 Dec 31 11:17:24 PM,2018 Dec 31 11:35:17 PM,2,9.71,1,N,138,140,1,27,0.5,0.5,10,5.76,0.3,44.06
2,2018 Dec 31 11:17:24 PM,2018 Dec 31 11:31:56 PM,1,1.48,1,N,162,164,2,10,0.5,0.5,0,0,0.3,11.3
2,2018 Dec 31 11:17:23 PM,2018 Dec 31 11:52:25 PM,1,8.88,1,N,43,37,2,29.5,0.5,0.5,0,0,0.3,30.8
2,2018 Dec 31 11:17:23 PM,2018 Dec 31 11:25:48 PM,1,1.38,1,N,166,116,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2018 Dec 31 11:17:23 PM,2018 Dec 31 11:24:35 PM,2,1.91,1,N,238,41,1,8,0.5,0.5,1.86,0,0.3,11.16
2,2018 Dec 31 11:17:23 PM,2018 Dec 31 11:33:11 PM,1,3.06,1,N,151,237,2,13.5,0.5,0.5,0,0,0.3,14.8
2,2018 Dec 31 11:17:22 PM,2018 Dec 31 11:30:09 PM,1,2.36,1,N,233,237,2,11,0.5,0.5,0,0,0.3,12.3
1,2018 Dec 31 11:17:22 PM,2018 Dec 31 11:45:13 PM,4,6,1,Y,158,202,2,22,0.5,0.5,0,5.76,0.3,29.06
2,2018 Dec 31 11:17:22 PM,2018 Dec 31 11:27:09 PM,5,1.63,1,N,262,263,2,9,0.5,0.5,0,0,0.3,10.3
1,2018 Dec 31 11:17:22 PM,2018 Dec 31 11:20:03 PM,1,0.8,1,N,238,151,1,4.5,0.5,0.5,1.7,0,0.3,7.5
1,2018 Dec 31 11:17:22 PM,2018 Dec 31 11:43:51 PM,1,9,1,N,231,42,1,28,0.5,0.5,3,0,0.3,32.3
2,2018 Dec 31 11:17:22 PM,2018 Dec 31 11:30:26 PM,1,2.15,1,N,239,140,1,10.5,0.5,0.5,2.36,0,0.3,14.16
1,2018 Dec 31 11:17:21 PM,2018 Dec 31 11:35:15 PM,1,4.4,1,N,140,260,1,16.5,0.5,0.5,3.55,0,0.3,21.35
1,2018 Dec 31 11:17:21 PM,2018 Dec 31 11:20:59 PM,1,1.1,1,N,211,261,1,5.5,0.5,0.5,1.35,0,0.3,8.15
1,2018 Dec 31 11:17:21 PM,2018 Dec 31 11:24:30 PM,2,0.9,1,N,234,224,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2018 Dec 31 11:17:21 PM,2018 Dec 31 11:25:03 PM,2,1.15,1,N,209,13,1,7,0.5,0.5,1.66,0,0.3,9.96
2,2018 Dec 31 11:17:21 PM,2018 Dec 31 11:23:44 PM,5,1.16,1,N,236,237,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2018 Dec 31 11:17:20 PM,2018 Dec 31 11:24:49 PM,1,3.07,1,N,237,74,1,10,0.5,0.5,2.82,0,0.3,14.12
1,2018 Dec 31 11:17:20 PM,2018 Dec 31 11:28:55 PM,1,2.8,1,N,263,164,1,11,0.5,0.5,2.45,0,0.3,14.75
1,2018 Dec 31 11:17:20 PM,2018 Dec 31 11:21:29 PM,1,0.5,1,N,129,129,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2018 Dec 31 11:17:20 PM,2018 Dec 31 11:20:51 PM,1,0.61,1,N,236,263,1,4.5,0.5,0.5,2,0,0.3,7.8
2,2018 Dec 31 11:17:19 PM,2018 Dec 31 11:25:00 PM,2,1.4,1,N,162,107,1,7.5,0.5,0.5,1.76,0,0.3,10.56
2,2018 Dec 31 11:17:19 PM,2018 Dec 31 11:42:07 PM,1,6.29,1,N,68,195,2,22.5,0.5,0.5,0,5.76,0.3,29.56
1,2018 Dec 31 11:17:19 PM,2018 Dec 31 11:21:54 PM,1,0.6,1,N,237,141,1,5,0.5,0.5,1.55,0,0.3,7.85
2,2018 Dec 31 11:17:19 PM,2018 Dec 31 11:25:11 PM,1,1.96,1,N,237,239,1,8.5,0.5,0.5,3,0,0.3,12.8
1,2018 Dec 31 11:17:19 PM,2018 Dec 31 11:35:56 PM,3,3.1,1,N,264,264,2,14.5,0.5,0.5,0,0,0.3,15.8
1,2018 Dec 31 11:17:18 PM,2018 Dec 31 11:40:54 PM,1,5.5,1,N,166,170,1,20,0.5,0.5,4.25,0,0.3,25.55
1,2018 Dec 31 11:17:18 PM,2018 Dec 31 11:26:07 PM,1,1.3,1,N,116,42,2,8,0.5,0.5,0,0,0.3,9.3
1,2018 Dec 31 11:17:18 PM,2018 Dec 31 11:43:57 PM,1,6.7,1,N,231,141,2,23.5,0.5,0.5,0,0,0.3,24.8
4,2018 Dec 31 11:17:18 PM,2018 Dec 31 11:20:50 PM,1,0.61,1,N,238,239,1,4.5,0.5,0.5,1.16,0,0.3,6.96
2,2018 Dec 31 11:17:18 PM,2018 Dec 31 11:32:02 PM,1,1.76,1,N,234,163,1,11,0.5,0.5,2.46,0,0.3,14.76
1,2018 Dec 31 11:17:18 PM,2018 Dec 31 11:26:47 PM,2,2,1,N,234,229,1,9,0.5,0.5,3.05,0,0.3,13.35
2,2018 Dec 31 11:17:18 PM,2018 Dec 31 11:21:43 PM,1,1.18,1,N,74,75,2,6,0.5,0.5,0,0,0.3,7.3
1,2018 Dec 31 11:17:16 PM,2018 Dec 31 11:26:47 PM,1,2,1,N,90,148,1,8.5,0.5,0.5,1.95,0,0.3,11.75
2,2018 Dec 31 11:17:16 PM,2018 Dec 31 11:25:39 PM,2,2.6,1,N,107,141,1,9.5,0.5,0.5,1.5,0,0.3,12.3
1,2018 Dec 31 11:17:16 PM,2018 Dec 31 11:29:27 PM,1,5,1,N,166,243,2,16,0.5,0.5,0,0,0.3,17.3
2,2018 Dec 31 11:17:16 PM,2018 Dec 31 11:22:38 PM,1,1.02,1,N,236,262,1,6,0.5,0.5,1,0,0.3,8.3
4,2018 Dec 31 11:17:15 PM,2018 Dec 31 11:32:33 PM,1,4.03,1,N,113,263,1,14,0.5,0.5,3.83,0,0.3,19.13
2,2018 Dec 31 11:17:15 PM,2018 Dec 31 11:18:55 PM,1,0.37,1,N,88,87,1,3.5,0.5,0.5,1.2,0,0.3,6
2,2018 Dec 31 11:17:15 PM,2018 Dec 31 11:27:54 PM,1,1.54,1,N,107,161,2,9,0.5,0.5,0,0,0.3,10.3
2,2018 Dec 31 11:17:15 PM,2018 Dec 31 11:30:41 PM,1,2.36,1,N,43,137,2,11,0.5,0.5,0,0,0.3,12.3
1,2018 Dec 31 11:17:15 PM,2018 Dec 31 11:27:13 PM,1,2.8,1,N,233,148,1,10.5,0.5,0.5,2.2,0,0.3,14
2,2018 Dec 31 11:17:14 PM,2018 Dec 31 11:25:29 PM,1,1.68,1,N,48,142,1,8,0.5,0.5,1.86,0,0.3,11.16
1,2018 Dec 31 11:17:14 PM,2018 Dec 31 11:25:11 PM,1,1,1,N,234,90,1,6.5,0.5,0.5,1.55,0,0.3,9.35
2,2018 Dec 31 11:17:14 PM,2018 Dec 31 11:38:01 PM,1,11.63,2,N,28,164,1,52,0,0.5,11.71,5.76,0.3,70.27
2,2018 Dec 31 11:17:13 PM,2018 Dec 31 11:37:06 PM,5,7.1,1,N,166,220,2,22,0.5,0.5,0,0,0.3,23.3
1,2018 Dec 31 11:17:13 PM,2018 Dec 31 11:27:17 PM,1,1.9,1,N,142,229,1,9.5,0.5,0.5,2.7,0,0.3,13.5
2,2018 Dec 31 11:17:13 PM,2018 Dec 31 11:20:14 PM,1,0.62,1,N,49,49,2,4,0.5,0.5,0,0,0.3,5.3
2,2018 Dec 31 11:17:13 PM,2018 Dec 31 11:36:16 PM,1,2.66,1,N,100,68,2,13.5,0.5,0.5,0,0,0.3,14.8
1,2018 Dec 31 11:17:13 PM,2018 Dec 31 11:37:35 PM,1,5.1,1,N,231,80,1,18.5,0.5,0.5,3.95,0,0.3,23.75
1,2018 Dec 31 11:17:13 PM,2018 Dec 31 11:24:32 PM,1,0.6,1,N,186,164,2,6,0.5,0.5,0,0,0.3,7.3
2,2018 Dec 31 11:17:11 PM,2018 Dec 31 11:26:50 PM,3,1.2,1,N,113,113,1,8,0.5,0.5,1.86,0,0.3,11.16
2,2018 Dec 31 11:17:11 PM,2018 Dec 31 11:23:27 PM,1,0.94,1,N,164,161,1,6,0.5,0.5,1.46,0,0.3,8.76
1,2018 Dec 31 11:17:11 PM,2018 Dec 31 11:36:35 PM,1,4.1,1,N,50,231,1,17.5,0.5,0.5,2.5,0,0.3,21.3
2,2018 Dec 31 11:17:10 PM,2018 Dec 31 11:19:52 PM,3,0.61,1,N,151,43,2,4,0.5,0.5,0,0,0.3,5.3
