VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2018 Dec 31 11:11:11 PM,2018 Dec 31 11:37:03 PM,1,8.3,1,N,236,87,1,26.5,0.5,0.5,5,0,0.3,32.8
1,2018 Dec 31 11:11:11 PM,2018 Dec 31 11:18:01 PM,1,1.4,1,N,236,238,1,7,0.5,0.5,1.65,0,0.3,9.95
2,2018 Dec 31 11:11:11 PM,2018 Dec 31 11:30:47 PM,2,7.06,1,N,264,264,2,22,0.5,0.5,0,0,0.3,23.3
2,2018 Dec 31 11:11:10 PM,2018 Dec 31 11:23:19 PM,1,2.71,1,N,263,162,2,11,0.5,0.5,0,0,0.3,12.3
2,2018 Dec 31 11:11:09 PM,2018 Dec 31 11:21:49 PM,2,1.45,1,N,186,79,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,2018 Dec 31 11:11:08 PM,2018 Dec 31 11:18:34 PM,1,1.34,1,N,236,238,1,7.5,0.5,0.5,0.88,0,0.3,9.68
1,2018 Dec 31 11:11:08 PM,2018 Dec 31 11:23:39 PM,1,2.3,1,N,116,41,2,10.5,0.5,0.5,0,0,0.3,11.8
2,2018 Dec 31 11:11:07 PM,2018 Dec 31 11:31:09 PM,1,4.45,1,N,163,226,2,17,0.5,0.5,0,0,0.3,18.3
1,2018 Dec 31 11:11:07 PM,2018 Dec 31 11:37:54 PM,1,13.7,1,N,132,129,2,39.5,0.5,0.5,0,0,0.3,40.8
2,2018 Dec 31 11:11:07 PM,2018 Dec 31 11:17:17 PM,1,1.64,1,N,166,151,1,7,0.5,0.5,1.66,0,0.3,9.96
2,2018 Dec 31 11:11:07 PM,2018 Dec 31 11:41:13 PM,1,19.12,2,N,132,262,1,52,0,0.5,11.71,5.76,0.3,70.27
2,2018 Dec 31 11:11:07 PM,2018 Dec 31 11:19:09 PM,1,0.96,1,N,100,48,1,6.5,0.5,0.5,1.56,0,0.3,9.36
1,2018 Dec 31 11:11:07 PM,2018 Dec 31 11:15:21 PM,1,0.4,1,N,48,48,1,4.5,0.5,0.5,1.7,0,0.3,7.5
2,2018 Dec 31 11:11:07 PM,2018 Dec 31 11:14:27 PM,1,0.35,1,N,144,148,1,4,0.5,0.5,1.06,0,0.3,6.36
2,2018 Dec 31 11:11:07 PM,2018 Dec 31 11:28:09 PM,2,2.61,1,N,186,79,1,13,0.5,0.5,2.86,0,0.3,17.16
1,2018 Dec 31 11:11:06 PM,2018 Dec 31 11:23:54 PM,2,2.1,1,N,237,236,1,11,0.5,0.5,3.65,0,0.3,15.95
1,2018 Dec 31 11:11:05 PM,2018 Dec 31 11:22:01 PM,2,3.3,1,N,236,107,2,11.5,0.5,0.5,0,0,0.3,12.8
2,2018 Dec 31 11:11:05 PM,2018 Dec 31 11:15:01 PM,1,0.91,1,N,236,237,2,5,0.5,0.5,0,0,0.3,6.3
1,2018 Dec 31 11:11:05 PM,2018 Dec 31 11:21:07 PM,1,2.2,1,N,90,144,1,9,0.5,0.5,2.55,0,0.3,12.85
1,2018 Dec 31 11:11:05 PM,2018 Dec 31 11:36:48 PM,1,7.8,1,N,41,79,2,26.5,0.5,0.5,0,0,0.3,27.8
1,2018 Dec 31 11:11:04 PM,2018 Dec 31 11:16:37 PM,1,0.7,1,N,249,90,2,5.5,0.5,0.5,0,0,0.3,6.8
2,2018 Dec 31 11:11:04 PM,2018 Dec 31 11:24:42 PM,1,4.66,1,N,263,90,2,15.5,0.5,0.5,0,0,0.3,16.8
1,2018 Dec 31 11:11:04 PM,2018 Dec 31 11:20:45 PM,2,1.3,1,N,161,229,1,8,0.5,0.5,1.86,0,0.3,11.16
2,2018 Dec 31 11:11:04 PM,2018 Dec 31 11:18:50 PM,6,1.59,1,N,48,48,1,7.5,0.5,0.5,2.2,0,0.3,11
2,2018 Dec 31 11:11:03 PM,2018 Dec 31 11:19:32 PM,1,2.23,1,N,43,142,1,9,0.5,0.5,2.58,0,0.3,12.88
2,2018 Dec 31 11:11:03 PM,2018 Dec 31 11:17:45 PM,1,0.8,1,N,48,48,2,6,0.5,0.5,0,0,0.3,7.3
1,2018 Dec 31 11:11:03 PM,2018 Dec 31 11:17:18 PM,3,1,1,N,87,144,1,6,0.5,0.5,1.45,0,0.3,8.75
2,2018 Dec 31 11:11:02 PM,2018 Dec 31 11:18:36 PM,1,1.1,1,N,41,42,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2018 Dec 31 11:11:02 PM,2018 Dec 31 11:25:30 PM,1,3.42,1,N,79,140,2,12.5,0.5,0.5,0,0,0.3,13.8
1,2018 Dec 31 11:11:01 PM,2018 Dec 31 11:11:31 PM,1,15.8,5,N,265,265,1,52,0,0,2,0,0.3,54.3
2,2018 Dec 31 11:11:01 PM,2018 Dec 31 11:17:05 PM,2,1.16,1,N,170,229,1,6,0.5,0.5,1.46,0,0.3,8.76
2,2018 Dec 31 11:11:01 PM,2018 Dec 31 11:30:15 PM,5,3.34,1,N,239,164,2,15,0.5,0.5,0,0,0.3,16.3
2,2018 Dec 31 11:11:00 PM,2018 Dec 31 11:12:39 PM,1,0.5,1,N,141,233,2,3.5,0.5,0.5,0,0,0.3,4.8
2,2018 Dec 31 11:10:59 PM,2018 Dec 31 11:20:58 PM,1,2.52,1,N,142,151,2,10,0.5,0.5,0,0,0.3,11.3
2,2018 Dec 31 11:10:59 PM,2018 Dec 31 11:16:06 PM,1,0.82,1,N,186,246,1,5,0.5,0.5,1.89,0,0.3,8.19
2,2018 Dec 31 11:10:58 PM,2018 Dec 31 11:35:14 PM,1,8.17,1,N,229,243,1,25,0.5,0.5,7.89,0,0.3,34.19
2,2018 Dec 31 11:10:58 PM,2018 Dec 31 11:21:42 PM,5,2.21,1,N,263,166,1,10,0.5,0.5,1.7,0,0.3,13
1,2018 Dec 31 11:10:57 PM,2018 Dec 31 11:13:47 PM,2,0.7,1,N,264,264,1,4.5,0.5,0.5,1.15,0,0.3,6.95
2,2018 Dec 31 11:10:57 PM,2018 Dec 31 11:27:28 PM,1,3.63,1,N,142,224,1,13.5,0.5,0.5,4,0,0.3,18.8
1,2018 Dec 31 11:10:56 PM,2018 Dec 31 11:15:39 PM,1,0.7,1,N,186,90,1,5,0.5,0.5,0,0,0.3,6.3
1,2018 Dec 31 11:10:55 PM,2018 Dec 31 11:35:45 PM,2,9.2,1,N,170,243,2,28.5,0.5,0.5,0,0,0.3,29.8
2,2018 Dec 31 11:10:55 PM,2018 Dec 31 11:40:46 PM,6,13.64,1,N,141,14,2,38,0.5,0.5,0,0,0.3,39.3
2,2018 Dec 31 11:10:55 PM,2018 Dec 31 11:38:46 PM,1,7.52,1,N,24,126,2,25.5,0.5,0.5,0,0,0.3,26.8
2,2018 Dec 31 11:10:55 PM,2018 Dec 31 11:19:43 PM,1,1.88,1,N,238,143,1,9,0.5,0.5,3.09,0,0.3,13.39
2,2018 Dec 31 11:10:54 PM,2018 Dec 31 11:13:33 PM,1,0.39,1,N,202,202,2,3.5,0.5,0.5,0,0,0.3,4.8
1,2018 Dec 31 11:10:54 PM,2018 Dec 31 11:31:40 PM,1,9.6,1,Y,138,244,1,27.5,0.5,0.5,6.9,5.76,0.3,41.46
2,2018 Dec 31 11:10:54 PM,2018 Dec 31 11:20:26 PM,1,1.88,1,N,249,231,1,8.5,0.5,0.5,2.94,0,0.3,12.74
1,2018 Dec 31 11:10:54 PM,2018 Dec 31 11:51:41 PM,1,17.7,1,N,68,206,1,51,0.5,0.5,15,11.52,0.3,78.82
2,2018 Dec 31 11:10:53 PM,2018 Dec 31 11:20:34 PM,6,0.83,1,N,90,158,1,7.5,0.5,0.5,1.76,0,0.3,10.56
1,2018 Dec 31 11:10:53 PM,2018 Dec 31 11:21:48 PM,1,2.1,1,N,141,142,1,9.5,0.5,0.5,3.2,0,0.3,14
1,2018 Dec 31 11:10:52 PM,2018 Dec 31 11:21:00 PM,1,2.7,1,N,151,116,1,10,0.5,0.5,2.25,0,0.3,13.55
