VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2018 Dec 31 11:04:32 PM,2018 Dec 31 11:16:16 PM,1,1.7,1,N,107,137,1,9,0.5,0.5,1.03,0,0.3,11.33
1,2018 Dec 31 11:04:32 PM,2018 Dec 31 11:20:09 PM,0,4,1,N,48,236,2,14.5,0.5,0.5,0,0,0.3,15.8
1,2018 Dec 31 11:04:31 PM,2018 Dec 31 11:20:12 PM,1,2.1,1,N,107,163,2,11.5,0.5,0.5,0,0,0.3,12.8
1,2018 Dec 31 11:04:30 PM,2018 Dec 31 11:44:49 PM,1,12.5,1,N,236,58,2,40,0.5,0.5,0,0,0.3,41.3
1,2018 Dec 31 11:04:30 PM,2018 Dec 31 11:09:39 PM,1,0.7,1,N,263,141,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,2018 Dec 31 11:04:29 PM,2018 Dec 31 11:30:15 PM,1,8.15,1,N,65,112,2,26,0.5,0.5,0,0,0.3,27.3
2,2018 Dec 31 11:04:29 PM,2018 Dec 31 11:07:00 PM,2,0.93,1,N,263,75,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2018 Dec 31 11:04:28 PM,2018 Dec 31 11:08:50 PM,1,0.52,1,N,162,161,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2018 Dec 31 11:04:27 PM,2018 Dec 31 11:09:54 PM,2,0.89,1,N,263,140,2,5.5,0.5,0.5,0,0,0.3,6.8
2,2018 Dec 31 11:04:26 PM,2018 Dec 31 11:08:30 PM,1,0.68,1,N,162,237,2,4.5,0.5,0.5,0,0,0.3,5.8
1,2018 Dec 31 11:04:25 PM,2018 Dec 31 11:15:19 PM,1,1.1,1,N,142,68,2,8.5,0.5,0.5,0,0,0.3,9.8
2,2018 Dec 31 11:04:25 PM,2018 Dec 31 11:39:06 PM,1,8.14,1,N,161,147,2,29.5,0.5,0.5,0,0,0.3,30.8
2,2018 Dec 31 11:04:24 PM,2019 Jan 01 10:33:22 PM,1,0.55,1,N,148,148,1,5,0.5,0.5,0,0,0.3,6.3
1,2018 Dec 31 11:04:24 PM,2018 Dec 31 11:08:09 PM,1,0.7,1,N,79,79,1,4.5,0.5,0.5,1,0,0.3,6.8
2,2018 Dec 31 11:04:23 PM,2018 Dec 31 11:12:02 PM,1,1.58,1,N,48,246,1,7.5,0.5,0.5,1.76,0,0.3,10.56
2,2018 Dec 31 11:04:23 PM,2018 Dec 31 11:11:17 PM,1,1.6,1,N,236,75,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2018 Dec 31 11:04:23 PM,2018 Dec 31 11:12:13 PM,1,2.74,1,N,141,226,1,9.5,0.5,0.5,0,0,0.3,10.8
2,2018 Dec 31 11:04:23 PM,2018 Dec 31 11:13:37 PM,3,1.81,1,N,79,232,2,8.5,0.5,0.5,0,0,0.3,9.8
2,2018 Dec 31 11:04:21 PM,2018 Dec 31 11:12:32 PM,1,0.84,1,N,48,50,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2018 Dec 31 11:04:21 PM,2018 Dec 31 11:32:21 PM,1,11,1,N,236,181,1,32.5,0.5,0.5,6.75,0,0.3,40.55
2,2018 Dec 31 11:04:21 PM,2018 Dec 31 11:42:29 PM,1,13.24,1,N,132,225,2,40,0,0.5,0,0,0.3,40.8
1,2018 Dec 31 11:04:21 PM,2018 Dec 31 11:09:23 PM,2,0.8,1,N,249,234,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2018 Dec 31 11:04:21 PM,2018 Dec 31 11:11:09 PM,1,1.2,1,N,141,262,2,7,0.5,0.5,0,0,0.3,8.3
2,2018 Dec 31 11:04:21 PM,2018 Dec 31 11:42:27 PM,6,4.82,1,N,82,82,2,24,0.5,0.5,0,0,0.3,25.3
