VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2018 Dec 31 10:57:39 PM,2018 Dec 31 11:22:24 PM,1,9,1,N,138,164,1,28.5,0.5,0.5,7.1,5.76,0.3,42.66
2,2018 Dec 31 10:57:39 PM,2018 Dec 31 11:19:31 PM,1,5.95,1,N,236,256,1,20,0.5,0.5,3.2,0,0.3,24.5
2,2018 Dec 31 10:57:39 PM,2018 Dec 31 11:06:03 PM,1,1.75,1,N,239,236,1,8.5,0.5,0.5,0,0,0.3,9.8
2,2018 Dec 31 10:57:38 PM,2018 Dec 31 11:09:18 PM,1,1.26,1,N,100,164,2,8.5,0.5,0.5,0,0,0.3,9.8
2,2018 Dec 31 10:57:38 PM,2018 Dec 31 11:14:57 PM,3,3.11,1,N,79,13,1,14.5,0.5,0.5,1.58,0,0.3,17.38
1,2018 Dec 31 10:57:38 PM,2018 Dec 31 11:04:15 PM,2,1.2,1,N,79,231,1,6.5,0.5,0.5,2.3,0,0.3,10.1
1,2018 Dec 31 10:57:38 PM,2018 Dec 31 11:12:12 PM,2,6.6,1,N,264,264,3,20,0.5,0.5,0,0,0.3,21.3
2,2018 Dec 31 10:57:37 PM,2018 Dec 31 11:14:48 PM,2,4.26,1,N,107,262,2,16,0.5,0.5,0,0,0.3,17.3
2,2018 Dec 31 10:57:37 PM,2018 Dec 31 11:18:28 PM,1,4.21,1,N,79,236,2,16.5,0.5,0.5,0,0,0.3,17.8
1,2018 Dec 31 10:57:37 PM,2018 Dec 31 11:08:58 PM,1,3.7,1,N,263,7,2,12.5,0.5,0.5,0,0,0.3,13.8
1,2018 Dec 31 10:57:35 PM,2018 Dec 31 11:04:14 PM,1,1.1,1,N,65,25,2,6,0.5,0.5,0,0,0.3,7.3
1,2018 Dec 31 10:57:34 PM,2018 Dec 31 11:12:43 PM,1,3.8,1,N,263,164,1,14.5,0.5,0.5,3.15,0,0.3,18.95
1,2018 Dec 31 10:57:34 PM,2018 Dec 31 10:59:48 PM,1,0.4,1,N,79,114,2,3.5,0.5,0.5,0,0,0.3,4.8
1,2018 Dec 31 10:57:34 PM,2018 Dec 31 11:00:55 PM,1,0.6,1,N,239,238,1,4.5,0.5,0.5,1.15,0,0.3,6.95
2,2018 Dec 31 10:57:33 PM,2018 Dec 31 11:07:36 PM,1,1.73,1,N,246,68,1,9,0.5,0.5,2.06,0,0.3,12.36
1,2018 Dec 31 10:57:33 PM,2018 Dec 31 11:01:22 PM,1,0.6,1,N,249,113,4,4.5,0.5,0.5,0,0,0.3,5.8
2,2018 Dec 31 10:57:33 PM,2018 Dec 31 11:05:56 PM,1,1.16,1,N,100,170,1,7,0.5,0.5,1.66,0,0.3,9.96
2,2018 Dec 31 10:57:32 PM,2018 Dec 31 11:22:31 PM,1,11.91,1,N,138,231,1,34,0.5,0.5,7.06,0,0.3,42.36
1,2018 Dec 31 10:57:32 PM,2018 Dec 31 11:05:37 PM,2,1.7,1,N,230,170,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2018 Dec 31 10:57:32 PM,2018 Dec 31 11:04:23 PM,2,0.72,1,N,234,164,1,6,0.5,0.5,2.19,0,0.3,9.49
2,2018 Dec 31 10:57:32 PM,2018 Dec 31 11:00:31 PM,5,0.51,1,N,50,143,2,4,0.5,0.5,0,0,0.3,5.3
2,2018 Dec 31 10:57:32 PM,2018 Dec 31 11:02:16 PM,3,0.67,1,N,246,246,2,5,0.5,0.5,0,0,0.3,6.3
4,2018 Dec 31 10:57:31 PM,2018 Dec 31 11:03:32 PM,1,0.68,1,N,90,107,2,5.5,0.5,0.5,0,0,0.3,6.8
2,2018 Dec 31 10:57:31 PM,2018 Dec 31 11:06:34 PM,1,1.44,1,N,249,79,1,7.5,0.5,0.5,1.76,0,0.3,10.56
4,2018 Dec 31 10:57:30 PM,2018 Dec 31 11:10:10 PM,1,1.47,1,N,161,234,1,9.5,0.5,0.5,2.7,0,0.3,13.5
1,2018 Dec 31 10:57:30 PM,2018 Dec 31 11:10:37 PM,2,3.3,1,N,107,263,2,12.5,0.5,0.5,0,0,0.3,13.8
1,2018 Dec 31 10:57:30 PM,2018 Dec 31 11:02:41 PM,1,0.8,1,N,231,209,2,5.5,0.5,0.5,0,0,0.3,6.8
2,2018 Dec 31 10:57:30 PM,2018 Dec 31 11:28:03 PM,1,17.78,1,N,170,14,1,47.5,0.5,0.5,9.76,0,0.3,58.56
2,2018 Dec 31 10:57:30 PM,2018 Dec 31 11:27:07 PM,2,19.35,2,N,132,75,1,52,0,0.5,11.71,5.76,0.3,70.27
2,2018 Dec 31 10:57:30 PM,2018 Dec 31 11:11:42 PM,3,2.44,1,N,125,48,2,11.5,0.5,0.5,0,0,0.3,12.8
1,2018 Dec 31 10:57:29 PM,2018 Dec 31 11:02:31 PM,1,0.9,1,N,238,151,1,5.5,0.5,0.5,1.35,0,0.3,8.15
1,2018 Dec 31 10:57:29 PM,2018 Dec 31 11:00:25 PM,1,0.5,1,N,246,68,2,4,0.5,0.5,0,0,0.3,5.3
1,2018 Dec 31 10:57:28 PM,2018 Dec 31 11:06:12 PM,1,1.3,1,N,158,114,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2018 Dec 31 10:57:28 PM,2018 Dec 31 11:06:49 PM,6,2.22,1,N,264,264,1,9.5,0.5,0.5,1.5,0,0.3,12.3
2,2018 Dec 31 10:57:27 PM,2018 Dec 31 11:06:11 PM,1,0.97,1,N,170,233,2,7,0.5,0.5,0,0,0.3,8.3
2,2018 Dec 31 10:57:27 PM,2018 Dec 31 11:26:01 PM,1,6.8,1,N,143,80,1,25,0.5,0.5,1,0,0.3,27.3
1,2018 Dec 31 10:57:27 PM,2018 Dec 31 11:26:57 PM,1,10.1,1,N,234,212,1,32,0.5,0.5,2,0,0.3,35.3
2,2018 Dec 31 10:57:27 PM,2018 Dec 31 11:06:18 PM,2,1.63,1,N,24,41,1,8,0.5,0.5,2.79,0,0.3,12.09
2,2018 Dec 31 10:57:26 PM,2018 Dec 31 11:33:13 PM,1,10.1,1,N,162,188,2,33,0.5,0.5,0,0,0.3,34.3
2,2018 Dec 31 10:57:26 PM,2018 Dec 31 11:28:17 PM,1,5.99,1,N,162,80,2,24,0.5,0.5,0,0,0.3,25.3
2,2018 Dec 31 10:57:26 PM,2018 Dec 31 11:07:01 PM,1,1.96,1,N,158,68,2,9,0.5,0.5,0,0,0.3,10.3
2,2018 Dec 31 10:57:26 PM,2018 Dec 31 11:27:04 PM,1,7.09,1,N,43,231,1,26,0.5,0.5,5.46,0,0.3,32.76
2,2018 Dec 31 10:57:26 PM,2018 Dec 31 11:07:03 PM,1,4.77,1,N,138,252,1,15,0.5,0.5,4.08,0,0.3,20.38
1,2018 Dec 31 10:57:24 PM,2018 Dec 31 11:00:15 PM,1,0.7,1,N,229,162,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2018 Dec 31 10:57:24 PM,2018 Dec 31 11:00:22 PM,6,0.4,1,N,79,79,1,4,0.5,0.5,1.06,0,0.3,6.36
